type,vmag,bmag,ra,de,smax,smin,angl,morp,snam,ids
OpC,8.1875,8.5,25.76670081366923,64.03999709200791,0.07499889218132007,0.07499889218132007,nan,,NGC 637,NGC 637|Cl Collinder 17|OCl 329
OpC,8.1875,8.8125,82.02079793114545,35.32500072687326,0.08999969514595958,0.08999969514595958,nan,,NGC 1907,NGC 1907|OCl 434
OpC,8.375,8.6875,62.64999895439704,49.5170000107566,0.08499999667351059,0.08499999667351059,nan,,NGC 1513,NGC 1513
OpC,8.375,9.125,48.70100072570982,47.253000621667205,0.18999878723681718,0.18999878723681718,nan,,NGC 1245,NAME Patrick Starfish Cluster|NGC 1245|Cl Melotte 18
OpC,8.75,8.0,18.99169957215063,58.811699018227756,0.09499939361840859,0.09499939361840859,nan,,NGC 436,NGC 436|OCl 320
OpC,8.75,9.0625,9.869999864845772,61.11500273089599,0.04499984757297979,0.04499984757297979,nan,,NGC 189,NGC 189
OpC,8.875,nan,38.06249956507917,44.563299447273046,0.07499889218132007,0.07499889218132007,nan,,NGC 956,NGC 956
OpC,9.0625,9.5625,8.274999575712513,63.30000073695043,0.05999979676397306,0.05999979676397306,nan,,NGC 146,NGC 146|OCl 299
Sy2,9.1875,15.6875,9.741541935804412,48.337378529771286,0.2156666381377234,0.17933003175325798,37.82416694418076,dGspD...,C 18,C 18|NGC 185|TYC 3253-693-1|UGC 396|PGC 2329|MCG+08-02-010
OpC,9.25,nan,17.082919538773357,61.583888387228164,0.0999990920908576,0.0999990920908576,nan,,NGC 381,NGC 381|Cl Collinder 10|OCl 317.0
IG,9.3125,10.3125,40.100050862425974,39.06324863698562,0.12333272584291212,0.05099931498518935,86.83891582450967,SB(rs)0- ,NGC 1023,NAME Perseus Lenticular Galaxy|NGC 1023|UGC 2154|PGC 10123|MCG+06-06-073
OpC,9.375,nan,7.800000046299531,63.3666975341956,0.03499959685443554,0.03499959685443554,nan,,NGC 133,NGC 133|Cl Collinder 3|OCl 296
PN,9.4375,10.0,62.32077700621328,30.775964966050836,0.03666616301191854,0.03666616301191854,89.97227876663116,,Pansy Nebula,NAME Crystal Ball Nebula|NAME Pansy Nebula|NGC 1514|HD 281679|SAO 57020|HIP 19395|TYC 2358-56-1|BD+30 623
OpC,9.5,9.8125,22.37999932504282,63.30200198237725,0.14999778436264014,0.14999778436264014,nan,,C 8,C 8|NGC 559|OCl 322
GiG,9.5,12.0,8.300500086978754,48.50873773076314,0.15666404899257216,0.09016532723333238,25.962150091863716,dGspD...,C 17,C 17|NGC 147|UGC 326|PGC 2004|MCG+08-02-005
G,9.5,13.5625,5.09650018223465,59.29297463771434,0.11266397035935291,0.100499403447561,128.91550390442674,dIrr ,IC 10,NAME Starburst Galaxy|IC 10|UGC 192|PGC 1305|MCG+10-01-001
OpC,9.5625,nan,61.13330080768245,52.66167033104904,0.03499959685443554,0.03499959685443554,89.97227876663116,,NGC 1496,NGC 1496|Cl Collinder 44
OpC,9.75,10.25,6.270000106176341,61.34000282253453,0.04499984757297979,0.04499984757297979,nan,,NGC 103,NGC 103|OCl 291.0|OCl 291
H2G,9.875,10.75,35.63711305118614,42.348320325856825,0.2171658646605411,0.0504998574021322,21.93354059485038,SA(s)b? ,C 23,C 23|NGC 891|UGC 1831|PGC 9031|MCG+07-05-046
HH,nan,9.9375,65.48792206396965,19.535280177246058,0.03033287010402463,0.022499923786489896,73.85784077857782,,NGC 1555,NAME Hind's Variable Nebula|NAME Hind's Nebula|NGC 1555|SH 2-238
BNe,10.0625,nan,82.84499685829083,34.233000327655446,0.07999859065376907,0.07999859065376907,nan,,NGC 1931,NAME The Fly Nebula|NGC 1931|SH 2-237|OCl 441|OCl 441.0
PN,10.0625,12.1875,25.58204152681607,51.575472177531154,0.018666480114820493,0.018666480114820493,89.97227876663116,,M 76,M 76|NAME Little Dumbbell Nebula|NAME Little Dumbbell Nebula|NAME Cork Nebula|NAME Barbell Nebula|NAME Butterfly Nebula|NGC 651|NGC 650|HD 10346
H2G,10.0625,10.6875,36.820470645647454,33.57887994103254,0.17866408830918176,0.0958326766971501,106.98196330957636,SAB(s)d ,NGC 925,NGC 925|UGC 1913|PGC 9332|MCG+05-06-045
PN,10.1875,10.5,89.0995854963787,46.10478093539103,0.0023333100143525616,0.0023333100143525616,54.833851487125955,,IC 2149,IC 2149|HD 39659|TYC 3361-1662-1|BD+46 1067
GiP,10.25,11.0625,29.83148299252695,19.007632695936977,0.07616514698209967,0.04199968698005189,130.70599701421045,SBb,NGC 772,NAME Fiddlehead Galaxy|NGC 772|UGC 1466|PGC 7525|MCG+03-06-011|SDSS J015919.55+190027.5
SBG,nan,10.5,56.7021404515561,68.09610493061972,0.32949515575056343,0.31316417344506403,0.0,SA(s)cd ,C 5,C 5|NAME Maffei 1 Group|IC 342|UGC 2847|PGC 13826|MCG+11-05-003
H2G,nan,10.5,13.018092963686033,47.55045877511583,0.03933249810916209,0.03833272916940154,29.990759588877054,SAB(rs)b ,NGC 278,NGC 278|UGC 528|PGC 3051|MCG+08-02-016
PN,10.6875,11.25,3.254237653636837,72.52195139957179,0.0133331695900987,0.0133331695900987,89.97227876663116,,C 2,C 2|NAME Bow-Tie Nebula|NAME Scarab Nebula|NGC 40|V* V400 Cep|HD 826|HIP 1041|TYC 4302-1297-1
OpC,10.6875,11.625,68.73000112711021,45.27499832859915,0.054999244517877806,0.054999244517877806,nan,,NGC 1605,NGC 1605|OCl 406.0|OCl 406
SFR,nan,10.875,52.229998960409674,31.370000178545148,0.3249940610875253,0.3249940610875253,nan,,NGC 1333,NAME Embryo Nebula|NAME Phantom Tiara|NGC 1333
ISM,10.9375,11.6875,57.025000078527995,22.566999659234003,0.0,0.0,nan,,NGC 1456,NGC 1456
LIN,10.9375,11.6875,85.51989701275357,69.37837732464114,0.07366529774587517,0.0516661122029118,84.60079943728005,Sb ,NGC 1961,NGC 1961|IC 2133|UGC 3334|PGC 17625|MCG+12-06-007
OpC,11.0,12.25,24.095000061477673,64.53500139172621,0.07999859065376907,0.07999859065376907,nan,,NGC 609,NGC 609
IG,11.0,11.8125,67.7049399968531,64.84791967836115,0.06516512732379486,0.03599936579419608,118.1725452457245,dIm ,NGC 1569,NGC 1569|TYC 4073-90-1|UGC 3056|PGC 15345|MCG+11-06-001
ISM,nan,11.0,23.30000019303409,30.500001417920245,0.0,0.0,nan,,IC 136,IC 136
GiP,11.0625,11.5625,26.97698472138602,27.432776905079283,0.11683038575306041,0.04516633343399885,68.93398472667263,SB(s)cd ,NGC 672,NGC 672|UGC 1256|PGC 6595|MCG+04-05-011
LIN,11.125,12.1875,14.453680906459436,30.35244884128047,0.047666182670223343,0.035666394072157985,44.98613938331558,E,NGC 315,NGC 315|UGC 597|PGC 3455|MCG+05-03-031
G,11.3125,12.4375,56.321227631733684,76.63826052552808,0.038999526387123985,0.03083318146072803,57.74340279052448,I,IC 334,IC 334|UGC 2824|PGC 13759|MCG+13-03-007
ISM,nan,11.375,23.525000284672636,30.78300006089595,0.004999911915860567,0.004999911915860567,nan,,IC 143,IC 143
Sy2,11.4375,12.4375,30.06222385816289,31.429381843189233,0.045833130651721295,0.03433279963671308,147.71568155715565,E,NGC 777,NGC 777|UGC 1476|PGC 7584|MCG+05-05-038
GiG,11.4375,12.5,17.745299331650106,33.15202726885262,0.03949983774382739,0.0266663391801974,33.795557447167425,E,NGC 410,NGC 410|UGC 735|PGC 4224|MCG+05-03-080|SDSS J011058.91+330907.1
ISM,11.4375,12.3125,67.71250101626431,35.445830188385365,0.0,0.0,nan,,IC 2067,IC 2067
GiG,11.5625,12.5,35.504200985032284,33.266094843086414,0.01833308150595927,0.01116650551932386,44.98613938331558,S0,NGC 890,NGC 890|UGC 1823|PGC 8997|MCG+05-06-030
LIN,11.625,12.5,12.449225290735926,32.27772548905061,0.048665951609983896,0.047165871313519944,94.89613481853635,SBabrs,NGC 266,NGC 266|UGC 508|PGC 2901|MCG+05-03-009|SDSS J004947.81+321639.8
OpC,11.6875,12.875,64.74000268947495,58.24999792126429,0.11999959352794612,0.11999959352794612,nan,,IC 361,IC 361
OpC,11.6875,13.0,28.094999603605117,61.86499848289836,0.12499929200039513,0.12499929200039513,nan,,IC 166,IC 166|Cl Tombaugh 3|OCl 334
LIN,11.6875,12.5,17.362919728703428,35.71806103813454,0.05666666444900706,0.05616635309230365,89.97227876663116,dE/S0,NGC 404,NAME Mirach's Ghost|NAME Lost Pearl Galaxy|NGC 404|UGC 718|PGC 4126|MCG+06-03-018
rG,11.6875,12.3125,44.9285540584232,25.241208257043287,0.04933274882770635,0.038999526387123985,27.976454840370383,Im ,NGC 1156,NGC 1156|UGC 2455|PGC 11329|MCG+04-08-006
Sy2,11.75,12.25,40.875103163398535,37.34133404156342,0.04116640390131039,0.022666409647508948,89.97227876663116,SA(rs)c ,NGC 1058,NGC 1058|UGC 2193|PGC 10314|MCG+06-07-001
OpC,11.75,nan,47.922000575396986,53.347001267084316,0.03999929532688454,0.03999929532688454,nan,,NGC 1220,NGC 1220
OpC,11.75,nan,70.14999745555576,50.46166981448266,0.0499995460454288,0.0499995460454288,nan,,NGC 1624,NGC 1624|Cl Collinder 53|OCl 403|OCl 403.0
GiG,11.75,13.0,40.812688894762964,32.42501168831276,0.03933249810916209,0.02916661530324503,76.9912037206993,E/S0,NGC 1060,NGC 1060|UGC 2191|PGC 10302|MCG+05-07-035|SDSS J024315.07+322529.6
GiP,11.9375,12.5,26.874542129119593,27.333349841331415,0.10866660214760321,0.04066609254460699,149.50617466693933,SB,IC 1727,IC 1727|UGC 1249|PGC 6574|MCG+04-05-009
GiG,11.9375,12.625,37.702709105265015,37.13679378158365,0.0516661122029118,0.022499923786489896,143.23944878269637,Ss...,NGC 949,NGC 949|UGC 1983|PGC 9566|MCG+06-06-048
G,11.9375,13.0,40.842792953529795,4.968377359349444,0.038999526387123985,0.03333303069695253,177.25881786858676,Sc ,NGC 1070,NGC 1070|UGC 2200|PGC 10309|MCG+01-07-026|SDSS J024322.27+045806.0
OpC,12.0,nan,81.47499751456976,46.49000018948513,0.09499939361840859,0.09499939361840859,89.97227876663116,,NGC 1883,NGC 1883|Cl Collinder 64|OCl 417
LSB,12.0625,12.5,30.320548442761925,28.837256751277867,0.06949888235216767,0.017833197036078993,0.9931641468331487,Sdm,NGC 784,NGC 784|UGC 1501|PGC 7671|MCG+05-05-045
Sy1,12.0625,13.1875,45.30866774611273,44.89738790524044,0.044832507938314496,0.030665841826062728,22.940692969103715,S0,NGC 1161,NGC 1161|TYC 2859-727-1|BD+44 612C|UGC 2474|PGC 11404|MCG+07-07-015
GiG,nan,12.0625,39.11594354643226,38.96919010192538,0.07083247678761256,0.06683169348127786,74.75308733346967,Scd ,IC 239,IC 239|UGC 2080|PGC 9899|MCG+06-06-065
GiG,nan,12.0625,39.82038876685982,40.87229254055507,0.05783291924978665,0.013833267503390539,95.7913813734282,SA(s)cd ,NGC 1003,NGC 1003|UGC 2137|PGC 10052|MCG+07-06-051
GiG,nan,12.0625,68.20452735350449,71.8831101461222,0.13833182126025914,0.027999506728819176,20.926388220597048,Sd,NGC 1560,NGC 1560|IC 2062|UGC 3060|PGC 15488|MCG+12-05-005
rG,12.125,13.5625,16.85399379590935,32.41256025345582,0.03983280946586549,0.03333303069695253,7.9453131746651895,S0,NGC 383,NAME NGC 383 group|NGC 383|UGC 689|PGC 3982|MCG+05-03-053
G,12.1875,13.5625,49.18706089270999,80.79324901275416,0.058999174050566254,0.014499637834289864,168.30635231966824,SA0 ,NGC 1184,NGC 1184|TYC 4520-773-1|UGC 2583|PGC 12174|MCG+13-03-002|SDSS J031645.19+804736.4
BiC,12.25,13.0,20.91645883309114,33.25617057822238,0.04083257840562604,0.027666535006781078,70.72447783645633,E/S0 ,NGC 507,NAME NGC 507 group|NGC 507|UGC 938|PGC 5098|MCG+05-04-044|SDSS J012339.93+331521.7
PN,12.25,13.0625,56.88809918189885,35.04680712197866,0.0019999647663442267,0.0019999647663442267,29.990759588877054,,IC 351,IC 351|TYC 2364-855-1
LIN,12.25,13.0,20.79774502267445,33.46008246079852,0.027999506728819176,0.01749979842721777,76.9912037206993,E5A ,NGC 499,NGC 499|IC 1686|UGC 926|PGC 5060|MCG+05-04-038
GiG,12.375,12.9375,38.09967969982613,35.49457041830257,0.03116615318276613,0.018499994253801444,66.695868339443,Sdm ,NGC 959,NGC 959|UGC 2002|PGC 9665|MCG+06-06-051
GiG,12.375,12.6875,27.82320076332094,22.357968549874947,0.06349856116631186,0.020999843490025944,104.74384692234672,SAB(r)c ,NGC 697,NGC 697|NGC 674|UGC 1317|PGC 6848|MCG+04-05-022|SDSS J015117.50+222129.4
GiG,12.375,13.5,38.53289469321792,32.947227461684385,0.028165992589838228,0.019333277332542944,7.9453131746651895,S0,NGC 969,NGC 969|UGC 2039|PGC 9781|MCG+05-07-008
Sy2,12.4375,13.0625,49.95066579663361,41.511697284611195,0.03599936579419608,0.0241664899439729,109.66770297425191,?p,C 24,C 24|NAME Perseus A|NGC 1275|UGC 2669|PGC 12429|MCG+07-07-063|SDSS J031948.15+413042.1
GiG,nan,12.5,46.37853491732512,42.835463077840444,0.059665117494642456,0.023833091335111672,120.85828491040006,SB(r)bc ,NGC 1186,NGC 1186|NGC 1174|UGC 2521|PGC 11617|MCG+07-07-021
LSB,nan,12.5,34.498523931639674,14.543945271435733,0.03199943626150763,0.024499888552834123,137.86796945334527,Sc,NGC 877,NGC 877|UGC 1768|PGC 8775|MCG+02-06-058
HII,nan,12.5,23.312499439215213,30.75249985115726,0.004999911915860567,0.004999911915860567,nan,,IC 131,IC 131
OpC,12.5625,nan,46.48329977390935,44.38333079283239,0.03999929532688454,0.03999929532688454,89.97227876663116,,NGC 1193,NGC 1193|Cl Collinder 35
