hip,hd,vmag,ra,de,plx,pra,pde,bv,ids
43,224784,6.15625,0.1290871602186475,59.558375298293505,0.00762939453125,0.0,0.0,1.031999945640564,
63,224801,6.34375,0.18174791871944232,45.25278996851286,0.004791259765625,0.0,0.0,-0.04699999839067459,* CG And
106,224870,6.21875,0.3301645142892246,49.980810836535454,0.004486083984375,0.0,0.0,0.9700000286102295,
124,224893,5.5625,0.404244746027178,61.221225832868015,0.000858306884765625,0.0,0.0,0.40700000524520874,
128,224890,6.5,0.41375919954100515,73.61129827029706,0.01519775390625,0.0,0.0,0.18199999630451202,
137,224906,6.25,0.4326856537311093,42.3668437988859,0.00244140625,0.0,0.0,-0.041999999433755875,
207,225009,5.84375,0.6503296316335513,66.09787161723008,0.00156402587890625,0.0,0.0,1.0729999542236328,
274,225094,6.21875,0.8571477597015237,63.639440648132535,0.000926971435546875,0.0,0.0,0.3319999873638153,
302,225136,6.28125,0.9651057297227381,66.71160509529071,0.0032958984375,0.0,0.0,1.628999948501587,
330,225180,5.875,1.0569307929243834,62.28607964522961,0.000888824462890625,0.0,0.0,0.27399998903274536,* 9 Cas
365,225218,6.09375,1.1524714790345156,42.09232483576477,0.0019378662109375,0.0,0.0,0.1589999943971634,
379,225216,5.65625,1.174300763621875,67.16622248644673,0.01025390625,0.0,0.0,1.0509999990463257,
398,225257,6.59375,1.2290242392520134,58.53198911133742,0.0021209716796875,0.0,0.0,0.02500000037252903,
418,225289,5.78125,1.2755514878781373,61.313897839526746,0.004486083984375,0.0,0.0,-0.06700000166893005,
508,110,6.625,1.5177226750900934,40.41810886641135,0.003265380859375,0.0,0.0,0.9120000004768372,
518,123,5.96875,1.564741697336458,58.43582004782364,0.049072265625,0.0,0.0,0.6869999766349792,
531,144,5.5625,1.6105039647755406,64.19547268808489,0.0033111572265625,0.0,0.0,-0.023000000044703484,* 10 Cas
695,371,6.40625,2.1369203044867287,63.202308541251746,0.002166748046875,0.0,0.0,0.9980000257492065,
746,432,2.265625,2.291992919402688,59.14921964625309,0.059814453125,0.0,0.0,0.3799999952316284,Caph|* bet Cas|* 11 Cas
760,431,6.0,2.332591563829241,79.71366248235285,0.008544921875,0.0,0.0,0.2029999941587448,
841,571,5.0,2.5801722608638467,46.07197553680746,0.00323486328125,0.0,0.0,0.4050000011920929,* 22 And
860,593,6.6875,2.6443760390619624,59.67202964608251,0.00165557861328125,0.0,0.0,-0.017000000923871994,
902,663,6.65625,2.7828922754298118,57.58778376047491,0.004425048828125,0.0,0.0,1.2120000123977661,
967,743,6.15625,2.9959395360208356,48.15185010134624,0.00592041015625,0.0,0.0,1.4670000076293945,
1009,800,6.5,3.141996301232379,44.70724909912564,0.00628662109375,0.0,0.0,1.1119999885559082,
1026,818,6.625,3.199807022367363,46.094706406365255,0.0179443359375,0.0,0.0,0.4020000100135803,
1063,861,6.625,3.302642350511068,62.03953713694885,0.008544921875,0.0,0.0,0.22599999606609344,
1086,905,5.6875,3.3788672616484052,41.03533940132702,0.028564453125,0.0,0.0,0.3310000002384186,* 23 And
1164,995,6.65625,3.640326903076476,41.031842344471976,0.00445556640625,0.0,0.0,1.1720000505447388,
1269,1142,6.40625,3.9785578707754854,60.99916272257258,0.0057373046875,0.0,0.0,0.8379999995231628,
1296,1141,6.34375,4.057788065147628,76.94923903843875,0.005279541015625,0.0,0.0,-0.04399999976158142,
1302,1185,6.09375,4.089480142896485,43.59431075500715,0.0107421875,0.0,0.0,0.06800000369548798,
1352,1240,6.5,4.224881813002809,49.46149789356108,0.0014190673828125,0.0,0.0,1.774999976158142,
1354,1239,5.71875,4.237667927129072,61.53246389296714,0.00506591796875,0.0,0.0,0.8980000019073486,
1366,1280,4.59375,4.272966344759696,38.680945873667106,0.01287841796875,0.0,0.0,0.05900000035762787,* eta And|* 24 And
1372,1279,5.84375,4.287610270340202,47.947272275326036,0.00341796875,0.0,0.0,-0.07900000363588333,
1415,1337,6.09375,4.429350355996297,51.43296369559343,0.000568389892578125,0.0,0.0,-0.1509999930858612,* AO Cas
1473,1404,4.5,4.5820187443244125,36.78466679401825,0.0230712890625,0.0,0.0,0.05400000140070915,* sig And|* 25 And
1501,1438,6.09375,4.6755650151969,43.79102020310351,0.00469970703125,0.0,0.0,-0.07400000095367432,* 26 And
1575,1527,6.34375,4.923200353744867,40.72934692651047,0.006011962890625,0.0,0.0,1.1790000200271606,
1603,1561,6.5,5.021445794766324,48.86524969977569,0.0036773681640625,0.0,0.0,0.050999999046325684,
1639,1601,6.4375,5.128761727005557,48.96841287699955,0.00341796875,0.0,0.0,0.5640000104904175,
1686,1671,5.15625,5.280009435986309,37.96842053945142,0.0203857421875,0.0,0.0,0.44200000166893005,* rho And|* 27 And
1725,1695,6.53125,5.426776540871534,67.82192064676791,0.005950927734375,0.0,0.0,0.9810000061988831,
1809,1831,6.6875,5.738998148211136,38.753509803409315,0.003875732421875,0.0,0.0,1.555999994277954,
1892,1917,6.5625,5.972098844205315,60.96069509716707,0.0185546875,0.0,0.0,0.3799999952316284,
1905,1952,6.65625,6.021931904389725,44.26399714274852,0.0068359375,0.0,0.0,0.4129999876022339,
1921,1976,5.5625,6.065098699944203,52.019594983027446,0.0023651123046875,0.0,0.0,-0.10999999940395355,
1960,2011,5.375,6.197768294382522,61.82971372564607,0.004241943359375,0.0,0.0,0.00800000037997961,* 12 Cas
1982,2054,5.71875,6.276561356647784,53.045981169983534,0.00616455078125,0.0,0.0,-0.0560000017285347,
